File,z_observed,z_model,delta_z,Distance_Mpc,Tau_s,Age_ΛCDM_Gyr,Age_Model_Gyr
jw01287001003_11101_00003_nrs2_x1d.fits,42.27318386027687,42.223183860276876,0.05,519463.9632433786,2.671497176287915e+18,0.05974662797250299,0.059851357473840294
jw01287001003_17101_00001_nrs1_x1d.fits,41.185904948334944,41.13590494833495,0.05,505114.5229688307,2.5977009326843786e+18,0.06209448456104377,0.062206113441359165
jw01287001001_15101_00001_nrs1_x1d.fits,42.03451039289173,41.984510392891735,0.05,516312.64242436783,2.655290576282401e+18,0.06024929934168733,0.06035549120418903
jw01287001001_13101_00003_nrs2_x1d.fits,39.735127894501936,39.68512789450194,0.05000000000000001,485994.1585694886,2.4993687997227197e+18,0.06547380879562481,0.06559567370075922
jw01287001003_13101_00002_nrs1_x1d.fits,41.24860746609537,41.198607466095375,0.05000000000000001,505941.5921746774,2.6019543808624174e+18,0.061954963995924185,0.06206617798781721
jw01287001001_11101_00002_nrs1_x1d.fits,39.54980058419077,39.49980058419077,0.05,483553.9007935045,2.486819051868696e+18,0.06592739632756645,0.06605066231264878
jw01287001003_15101_00003_nrs2_x1d.fits,36.134140729904175,36.08414072990418,0.05,438675.983597748,2.2560210802104095e+18,0.07531862308781745,0.07547231066511802
jw01287001003_13101_00001_nrs1_x1d.fits,42.42380715043921,42.37380715043921,0.05,521453.11767420813,2.6817269916768067e+18,0.05943295890242207,0.05953677998493573
jw01287001001_11101_00001_nrs1_x1d.fits,41.725456388373125,41.67545638837313,0.05,512233.2250922407,2.6343109652702474e+18,0.06091067139101252,0.06101879959921965
jw01287001001_17101_00003_nrs2_x1d.fits,42.3024254284407,42.2524254284407,0.05,519850.107618502,2.6734830380238106e+18,0.05968551927173839,0.059790071548387225
jw01287001003_17101_00002_nrs1_x1d.fits,42.54529082775116,42.49529082775116,0.05,523057.67545682576,2.6899789049735245e+18,0.05918195144852669,0.05928504786128041
