File,z_observed,z_model,delta_z,Distance_Mpc,Tau_s,Age_ΛCDM_Gyr,Age_Model_Gyr
jw01287001003_11101_00003_nrs2_x1d.fits,42.27318386027687,42.223183860276876,0.05,519463.9632433786,2.671497176287915e+18,0.05974662797250299,0.059851357473840294
jw01287001003_17101_00001_nrs1_x1d.fits,41.185904948334944,41.13590494833495,0.05,505114.5229688307,2.5977009326843786e+18,0.06209448456104377,0.062206113441359165
jw01287001001_15101_00002_nrs2_s2d.fits,41.99140682345942,41.941406823459424,0.05,515743.6090249125,2.652364153609369e+18,0.0603408259084569,0.06044728490766278
jw01287001001_15101_00001_nrs1_x1d.fits,42.03451039289173,41.984510392891735,0.05,516312.64242436783,2.655290576282401e+18,0.06024929934168733,0.06035549120418903
jw01287001001_13101_00003_nrs2_x1d.fits,39.735127894501936,39.68512789450194,0.05000000000000001,485994.1585694886,2.4993687997227197e+18,0.06547380879562481,0.06559567370075922
jw01287001003_17101_00002_nrs2_s2d.fits,36.284011119290405,36.23401111929041,0.049999999999999996,440641.0724261008,2.2661271311158884e+18,0.07486104921632697,0.07501319297745969
jw01287001001_11101_00001_nrs2_s2d.fits,32.12458725352036,32.07458725352036,0.05,386255.4045209548,1.9864327374336494e+18,0.08952472969901298,0.08972937987557962
jw01287001001_17101_00003_nrs1_s2d.fits,42.15744105138277,42.10744105138277,0.05,517935.65717427025,2.663637409996074e+18,0.05998952456083663,0.060094959682441836
jw01287001003_13101_00002_nrs1_x1d.fits,41.24860746609537,41.198607466095375,0.05000000000000001,505941.5921746774,2.6019543808624174e+18,0.061954963995924185,0.06206617798781721
jw01287001003_15101_00003_nrs1_s2d.fits,37.06063611256449,37.01063611256449,0.05,450830.25222669926,2.318528003923374e+18,0.0725619304737744,0.0727064116906811
jw01287001003_13101_00001_nrs2_s2d.fits,36.28239551970833,36.232395519708334,0.05,440619.88674744853,2.2660181774931118e+18,0.0748659572945144,0.07501811758208449
